Date,Min,Average,Max,First,Last
01.01.2024 0:00,1.10363,1.10469,1.10785,1.10546,1.10467
02.01.2024 0:00,1.09386,1.09913,1.10455,1.10455,1.09415
03.01.2024 0:00,1.08957,1.09339,1.09655,1.09415,1.09216
04.01.2024 0:00,1.09166,1.09413,1.09698,1.09215,1.09469
05.01.2024 0:00,1.08793,1.09389,1.09958,1.09469,1.09547
06.01.2024 0:00,1.09547,1.09547,1.09547,1.09547,1.09547
07.01.2024 0:00,1.09436,1.09539,1.09547,1.09547,1.09451
08.01.2024 0:00,1.09242,1.09481,1.09779,1.09455,1.09523
09.01.2024 0:00,1.09121,1.09427,1.09655,1.09523,1.09296
10.01.2024 0:00,1.09231,1.09467,1.09758,1.09296,1.09715
11.01.2024 0:00,1.0931,1.09703,1.09902,1.09715,1.09729
12.01.2024 0:00,1.09367,1.09665,1.09856,1.09727,1.09625
13.01.2024 0:00,1.09625,1.09625,1.09625,1.09625,1.09625
14.01.2024 0:00,1.09458,1.09615,1.09626,1.09625,1.09512
15.01.2024 0:00,1.09337,1.09483,1.09582,1.09495,1.09502
16.01.2024 0:00,1.08627,1.08975,1.09517,1.09502,1.08784
17.01.2024 0:00,1.08449,1.08702,1.08867,1.08784,1.08818
18.01.2024 0:00,1.08483,1.08802,1.09063,1.08819,1.08741
19.01.2024 0:00,1.08679,1.08851,1.09146,1.08737,1.09146
20.01.2024 0:00,1.09146,1.09146,1.09146,1.09146,1.09146
21.01.2024 0:00,1.08896,1.09128,1.09147,1.09146,1.08943
22.01.2024 0:00,1.08801,1.08939,1.09092,1.08931,1.08815
23.01.2024 0:00,1.08239,1.0871,1.09164,1.08815,1.08536
24.01.2024 0:00,1.08516,1.08821,1.09312,1.08529,1.08854
25.01.2024 0:00,1.08227,1.08684,1.08992,1.08857,1.08466
26.01.2024 0:00,1.08131,1.08526,1.08828,1.08466,1.08636
27.01.2024 0:00,1.08636,1.08636,1.08636,1.08636,1.08636
28.01.2024 0:00,1.08426,1.08621,1.08637,1.08636,1.08465
29.01.2024 0:00,1.07968,1.08296,1.08493,1.08462,1.08338
30.01.2024 0:00,1.08124,1.08353,1.08554,1.08342,1.08442
31.01.2024 0:00,1.07956,1.08335,1.08854,1.08442,1.08155
01.02.2024 0:00,1.078,1.08249,1.08755,1.08139,1.08732
02.02.2024 0:00,1.07805,1.08461,1.08973,1.08732,1.08067
03.02.2024 0:00,1.08067,1.08067,1.08067,1.08067,1.08067
04.02.2024 0:00,1.07807,1.08053,1.08067,1.08067,1.07807
05.02.2024 0:00,1.07244,1.07581,1.07864,1.07807,1.07437
06.02.2024 0:00,1.07242,1.07457,1.07624,1.07437,1.07546
07.02.2024 0:00,1.07546,1.07665,1.07839,1.07546,1.07736
08.02.2024 0:00,1.07428,1.07741,1.07887,1.07736,1.07788
09.02.2024 0:00,1.07625,1.07779,1.07941,1.07788,1.07846
10.02.2024 0:00,1.07846,1.07846,1.07846,1.07846,1.07846
11.02.2024 0:00,1.07805,1.07845,1.07875,1.07846,1.07853
12.02.2024 0:00,1.07574,1.07815,1.08052,1.07857,1.0773
13.02.2024 0:00,1.0701,1.07476,1.07945,1.0773,1.07124
14.02.2024 0:00,1.06953,1.07148,1.07342,1.07124,1.07267
15.02.2024 0:00,1.07244,1.07464,1.07846,1.07267,1.07723
16.02.2024 0:00,1.07342,1.07678,1.07886,1.07723,1.07776
17.02.2024 0:00,1.07776,1.07776,1.07776,1.07776,1.07776
18.02.2024 0:00,1.07746,1.07775,1.07778,1.07776,1.07757
19.02.2024 0:00,1.07625,1.0778,1.07892,1.07759,1.07805
20.02.2024 0:00,1.07623,1.07927,1.08384,1.07794,1.08099
21.02.2024 0:00,1.07915,1.08103,1.08226,1.08101,1.08196
22.02.2024 0:00,1.08046,1.08317,1.08852,1.08196,1.08216
23.02.2024 0:00,1.08133,1.08258,1.08392,1.08216,1.08336
24.02.2024 0:00,1.08336,1.08336,1.08336,1.08336,1.08336
25.02.2024 0:00,1.08186,1.08329,1.08337,1.08336,1.08235
26.02.2024 0:00,1.08132,1.08373,1.08588,1.08235,1.08507
27.02.2024 0:00,1.08334,1.08506,1.08659,1.08507,1.08455
28.02.2024 0:00,1.07984,1.08297,1.08484,1.08455,1.08387
29.02.2024 0:00,1.07959,1.08285,1.08556,1.08387,1.08052
01.03.2024 0:00,1.0799,1.08213,1.08548,1.08052,1.08507
02.03.2024 0:00,1.08507,1.08507,1.08507,1.08507,1.08507
03.03.2024 0:00,1.08377,1.08497,1.08508,1.08507,1.08393
04.03.2024 0:00,1.08383,1.08507,1.08662,1.08395,1.08561
05.03.2024 0:00,1.08425,1.08535,1.08749,1.08561,1.08569
06.03.2024 0:00,1.08427,1.08753,1.09141,1.08569,1.08986
07.03.2024 0:00,1.08689,1.09115,1.09505,1.08986,1.09473
08.03.2024 0:00,1.09268,1.09431,1.09776,1.09473,1.09445
09.03.2024 0:00,1.09445,1.09445,1.09445,1.09445,1.09445
10.03.2024 0:00,1.09361,1.0944,1.09448,1.09445,1.09372
11.03.2024 0:00,1.09144,1.09343,1.09487,1.09378,1.09251
12.03.2024 0:00,1.09029,1.09275,1.09403,1.09253,1.09277
13.03.2024 0:00,1.09202,1.09365,1.09629,1.09277,1.09491
14.03.2024 0:00,1.0881,1.09215,1.09544,1.095,1.08842
15.03.2024 0:00,1.08735,1.08854,1.09004,1.08842,1.08986
16.03.2024 0:00,1.08986,1.08986,1.08986,1.08986,1.08986
17.03.2024 0:00,1.08841,1.08978,1.08986,1.08986,1.08863
18.03.2024 0:00,1.08663,1.08856,1.09057,1.08865,1.08713
19.03.2024 0:00,1.08348,1.08617,1.08767,1.08713,1.08666
20.03.2024 0:00,1.08366,1.08691,1.09338,1.08654,1.09337
21.03.2024 0:00,1.08557,1.09013,1.09427,1.09323,1.08619
22.03.2024 0:00,1.08014,1.08294,1.08682,1.08618,1.08636
23.03.2024 0:00,1.08636,1.08636,1.08636,1.08636,1.08636
24.03.2024 0:00,1.0806,1.0859,1.08637,1.08636,1.08085
25.03.2024 0:00,1.08023,1.0825,1.08425,1.08085,1.08374
26.03.2024 0:00,1.08246,1.0842,1.08639,1.08377,1.08326
27.03.2024 0:00,1.08106,1.08251,1.0839,1.08327,1.0812
28.03.2024 0:00,1.07752,1.08027,1.08266,1.08154,1.07892
29.03.2024 0:00,1.07672,1.07868,1.08102,1.07887,1.07997
30.03.2024 0:00,1.07997,1.07997,1.07997,1.07997,1.07997
31.03.2024 0:00,1.07866,1.07989,1.07997,1.07997,1.07927
01.04.2024 0:00,1.07313,1.07717,1.07997,1.07927,1.07434
02.04.2024 0:00,1.07251,1.07478,1.07785,1.07434,1.07747
03.04.2024 0:00,1.0764,1.07922,1.08378,1.07747,1.08348
04.04.2024 0:00,1.08325,1.08505,1.08756,1.08348,1.08383
05.04.2024 0:00,1.07915,1.08322,1.08481,1.08384,1.08478
06.04.2024 0:00,1.08478,1.08478,1.08478,1.08478,1.08478
07.04.2024 0:00,1.08368,1.0847,1.08478,1.08478,1.08386
08.04.2024 0:00,1.08212,1.08399,1.08625,1.08386,1.08605
09.04.2024 0:00,1.08481,1.08603,1.08867,1.08605,1.08595
10.04.2024 0:00,1.07292,1.08151,1.08667,1.08595,1.07425
11.04.2024 0:00,1.07002,1.07345,1.07554,1.07425,1.07285
12.04.2024 0:00,1.06233,1.0677,1.07302,1.07274,1.06707
13.04.2024 0:00,1.06707,1.06707,1.06707,1.06707,1.06707
14.04.2024 0:00,1.06336,1.06677,1.06707,1.06707,1.06357
15.04.2024 0:00,1.06206,1.06446,1.06651,1.06358,1.06243
16.04.2024 0:00,1.06024,1.06225,1.06538,1.06243,1.06189
17.04.2024 0:00,1.06079,1.064,1.06788,1.06189,1.06716
18.04.2024 0:00,1.06415,1.06664,1.06906,1.06722,1.06439
19.04.2024 0:00,1.06112,1.06482,1.06786,1.0644,1.06666
20.04.2024 0:00,1.06666,1.06666,1.06666,1.06666,1.06666
21.04.2024 0:00,1.06527,1.06658,1.06667,1.06666,1.06596
22.04.2024 0:00,1.06249,1.06544,1.06705,1.06573,1.06518
23.04.2024 0:00,1.0639,1.06743,1.07097,1.06518,1.07026
24.04.2024 0:00,1.0679,1.06966,1.07147,1.07026,1.0698
25.04.2024 0:00,1.06785,1.07153,1.07384,1.0698,1.07289
26.04.2024 0:00,1.06753,1.07168,1.07525,1.07288,1.07026
27.04.2024 0:00,1.07026,1.07026,1.07026,1.07026,1.07026
28.04.2024 0:00,1.06924,1.07022,1.07112,1.07026,1.06972
29.04.2024 0:00,1.06907,1.0716,1.07336,1.06972,1.0721
30.04.2024 0:00,1.06655,1.07015,1.07355,1.0721,1.06691
01.05.2024 0:00,1.06498,1.06741,1.07313,1.06691,1.07109
02.05.2024 0:00,1.06754,1.07121,1.07301,1.07109,1.07267
03.05.2024 0:00,1.07248,1.07496,1.08092,1.07267,1.07718
04.05.2024 0:00,1.07718,1.07718,1.07718,1.07718,1.07718
05.05.2024 0:00,1.07617,1.07711,1.07718,1.07718,1.07644
06.05.2024 0:00,1.07561,1.077,1.07904,1.0764,1.0769
07.05.2024 0:00,1.07486,1.07656,1.07886,1.0769,1.07563
08.05.2024 0:00,1.07355,1.07462,1.07575,1.07563,1.07492
09.05.2024 0:00,1.07248,1.07513,1.07834,1.07492,1.0782
10.05.2024 0:00,1.07618,1.07772,1.07916,1.07846,1.0787
11.05.2024 0:00,1.0787,1.0787,1.0787,1.0787,1.0787
12.05.2024 0:00,1.07692,1.07859,1.07881,1.0787,1.07702
13.05.2024 0:00,1.07662,1.07814,1.08069,1.07716,1.07924
14.05.2024 0:00,1.07762,1.08036,1.08266,1.07863,1.08173
15.05.2024 0:00,1.08133,1.0842,1.08867,1.08172,1.08825
16.05.2024 0:00,1.08556,1.08761,1.08956,1.08825,1.08672
17.05.2024 0:00,1.08361,1.08617,1.08944,1.08672,1.08944
18.05.2024 0:00,1.08944,1.08944,1.08944,1.08944,1.08944
19.05.2024 0:00,1.0863,1.08921,1.08945,1.08944,1.08699
20.05.2024 0:00,1.08548,1.08693,1.08842,1.08699,1.08587
21.05.2024 0:00,1.08456,1.08588,1.08745,1.08602,1.08558
22.05.2024 0:00,1.08177,1.08439,1.08637,1.08558,1.08242
23.05.2024 0:00,1.0805,1.08286,1.08607,1.08242,1.0815
24.05.2024 0:00,1.08056,1.08308,1.08584,1.0815,1.08548
25.05.2024 0:00,1.08548,1.08548,1.08548,1.08548,1.08548
26.05.2024 0:00,1.08439,1.08542,1.08548,1.08548,1.08459
27.05.2024 0:00,1.08415,1.08536,1.0867,1.08459,1.08577
28.05.2024 0:00,1.08554,1.08709,1.08892,1.08575,1.0858
29.05.2024 0:00,1.08002,1.08356,1.08607,1.0858,1.08032
30.05.2024 0:00,1.07885,1.08159,1.08453,1.08032,1.08339
31.05.2024 0:00,1.08113,1.08399,1.08818,1.08331,1.08565
